,IATA,ICAO,Airline,Call sign,Country/Region,Comments
0,PR,BOI,2GO,ABAIR,Philippines,
1,,EVY,"34 Squadron, Royal Australian Air Force",Australia,,
2,,GNL,135 Airways,GENERAL,United States,
3,1A,,Amadeus IT Group S.A.,,Global,GDS and airline hosting system (CRS/PSS)
4,1B,,Sabre travel network Asia-Pacific (ex-Abacus),,APAC,Regional distribution
5,1E,,Travelsky,,China,Local distribution system and hosting system (CRS/PSS)
6,1F,,"Infini travel information, Inc.",,Japan,Local distribution system (CRS)
7,1G,,Travelport (Galileo core),,Global,GDS (CRS)
8,1H,,Sirena travel,,Russia,Local distribution system (CRS) and PSS
9,1J,,"Axess international network, Inc.",,Japan,Local distribution system (CRS)
10,1K,,AIRKIOSK,,Global,Local distribution system (CRS) and PSS
11,1M,,Sirin,,Russia,Local distribution system (CRS) and PSS
12,1P,,Travelport (Worldspan core),,Global,GDS (CRS)
13,1S,,Sabre travel network,,Global,GDS and airline hosting system (CRS/PSS)
14,1T,,Hitit Computer Services,,Turkey,Computer reservation system
15,1U,,Google/ITA,,United States,Airline IT provider
16,2T,TBS,Timbis Air,,Kenya,
17,,WYT,2 Sqn No 1 Elementary Flying Training School,WYTON,United Kingdom,Royal Air Force
18,,TFU,213th Flight Unit,THJY,Russia,State Airline
19,,CHD,223rd Flight Unit,CHKALOVSK-AVIA,Russia,State Airline
20,,TTF,224th Flight Unit,CARGO UNIT,Russia,State Airline
21,,TWF,247 Jet Ltd,CLOUD RUNNER,United Kingdom,
22,,SEC,3D Aviation,SECUREX,United States,
23,Q5,MLA,40-Mile Air,MILE-AIR,United States,
24,,QRT,4D Air,QUARTET,Thailand,Defunct
25,,PIU,43 Air School,PRIMA,South Africa,
26,4D,ASD,Air Sinai,,Egypt,
27,4R,SEK,Star East Airline,,Romania,
28,4O,AIJ,Interjet,ABC Aerolineas,Mexico,Defunct in 2020
29,7A,XRC,Express Air Cargo,,Tunisia,
30,7B,UBE,Bees Airline,Flower Bee,Ukraine,"Established 2019, started 2021."
31,7S,RYA,Ryan Air Services,RYAN AIR,United States,
32,,BRO,2Excel Aviation,BROADSWORD,United Kingdom,
33,,GBT,A-Jet Aviation Aircraft Management,GLOBETROTTER,Austria,
34,,AJR,A-Jet Aviation Company,JET MONGOLIA,Mongolia,
35,,SFM,A-Safar Air Services,AIR SAFAR,Nigeria,
36,,AJJ,A2 Jet Leasing,ATLANTIC JET,United States,
37,,XXV,AASANA,,Bolivia,
38,,BBE,Ababeel Aviation,BABEL AIR,Sudan,
39,1B,,Abacus International,,Singapore,Computer reservation system
40,,ABJ,Abaeté Linhas Aéreas,,Brazil,defunct
41,,NKP,Abakan Air,ABAKAN AIR,Russia,2014[1]
42,RL,ABG,Abakan-Avia,ROYAL FLIGHT,Russia,
43,,ABE,Aban Air,ABAN,Iran,Former IATA code: K5
44,,MRP,Abas,ABAS,Czech Republic,
45,,AHU,ABC Air Hungary,ABC HUNGARY,Hungary,defunct
46,,FTY,ABC Bedarfsflug,FLY TYROL,Austria,
47,W9,AAB,Abelag Aviation,ABG,Belgium,defunct
48,,BDV,Aberdair Aviation,ABERDAV,Kenya,
49,,ROH,Aberdair Aviation Ghana,,Ghana,
50,,ADJ,Abidjan Air Cargo,ABICAR,Côte d'Ivoire,defunct
51,,ABP,ABS Jets,BAIR,Czech Republic,Named changed from Aba Air
52,M3,TUS,ABSA Cargo,Turismo,Brazil,
53,,TTN,Absolute Flight Services,TITANIUM,South Africa,
54,GB,ABX,ABX Air,ABEX,United States,"August 15, 2003 Air operations of former Airborne Express"
55,,IAE,AC Insat-Aero,,Russia,defunct
56,,NCL,ACA (Ancargo Air),ANCARGO AIR,Angola,defunct
57,,ACD,Academy Airlines,ACADEMY,United States,
58,ZA,CYD,AccessAir,CYCLONE,United States,defunct
59,,,Ace Air,ACE TAXI,South Korea,defunct as of September 2015
60,,CFM,ACEF,ACEF,Portugal,"Transportes Aéreos e Cargas, code no longer allocated"
61,,ARO,Acero Taxi,ACERO,Mexico,
62,VX,AES,ACES Colombia,ACES,Colombia,defunct
63,,BVR,ACM Air Charter,BAVARIAN,Germany,
64,,BJT,ACM Aviation,BAY JET,United States,
65,,CRV,Acropolis Aviation,ACROPOLIS,United Kingdom,
66,,ORS,Action Air,AVIATION SERVICE,Italy,"ICAO Code no longer allocated, defunct"
67,,AXQ,Action Airlines (Action Air Charter),ACTION AIR,United States,
68,,AVR,"Active Aero Charter, Inc.",ACTIVE AERO,United States,
69,,RRM,Acvila Air-Romanian Carrier,AIR ROMANIA,Romania,defunct
70,,ADC,AD Astra Executive Charter,AD ASTRA,Poland,
71,,VUE,AD Aviation,FLIGHTVUE,United Kingdom,
