doc_id,Question,Answer,source_file,medical_category,complexity,question_length,answer_length
0,Is PRICKLE1-related progressive myoclonus epilepsy with ataxia inherited ?,"Some cases of PRICKLE1-related progressive myoclonus epilepsy with ataxia are inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition. Other cases of PRICKLE1-related progressive myoclonus epilepsy with ataxia are considered autosomal dominant because one copy of the altered gene in each cell is sufficient to cause the disorder. These cases result from new mutations in the gene and occur in people with no history of the disorder in their family.",growth_hormone_receptorQA,Endocrinology,Complex,74,678
1,What is (are) congenital neuronal ceroid lipofuscinosis ?,"Congenital neuronal ceroid lipofuscinosis (NCL) is an inherited disorder that primarily affects the nervous system. Soon after birth, affected infants develop muscle rigidity, respiratory failure, and prolonged episodes of seizure activity that last several minutes (status epilepticus). It is likely that some affected individuals have seizure activity before birth. Infants with congenital NCL have unusually small heads (microcephaly) with brains that may be less than half the normal size. There is a loss of brain cells in areas that coordinate movement and control thinking and emotions (the cerebellum and the cerebral cortex). Affected individuals also lack a fatty substance called myelin, which protects nerve cells and promotes efficient transmission of nerve impulses. Infants with congenital NCL often die hours to weeks after birth. Congenital NCL is the most severe form of a group of NCLs (collectively called Batten disease) that affect the nervous system and typically cause progressive problems with vision, movement, and thinking ability. The different types of NCLs are distinguished by the age at which signs and symptoms first appear.",growth_hormone_receptorQA,Endocrinology,Very Complex,57,1157
2,What are the genetic changes related to X-linked adrenal hypoplasia congenita ?,"Mutations in the NR0B1 gene cause X-linked adrenal hypoplasia congenita. The NR0B1 gene provides instructions to make a protein called DAX1. This protein plays an important role in the development and function of several hormone-producing (endocrine) tissues including the adrenal glands, two hormone-secreting glands in the brain (the hypothalamus and pituitary), and the gonads (ovaries in females and testes in males). The hormones produced by these glands control many important body functions. Some NR0B1 mutations result in the production of an inactive version of the DAX1 protein, while other mutations delete the entire gene. The resulting shortage of DAX1 disrupts the normal development and function of hormone-producing tissues in the body. The signs and symptoms of adrenal insufficiency and hypogonadotropic hypogonadism occur when endocrine glands do not produce the right amounts of certain hormones.",growth_hormone_receptorQA,Endocrinology,Complex,79,916
3,How many people are affected by inclusion body myopathy 2 ?,"More than 200 people with inclusion body myopathy 2 have been reported. Most are of Iranian Jewish descent; the condition affects an estimated 1 in 1,500 people in this population. Additionally, at least 15 people in the Japanese population have been diagnosed with this disorder. Inclusion body myopathy 2 has also been found in several other ethnic groups worldwide.",growth_hormone_receptorQA,Endocrinology,Moderate,59,368
4,How many people are affected by hyperparathyroidism-jaw tumor syndrome ?,The exact prevalence of hyperparathyroidism-jaw tumor syndrome is unknown. Approximately 200 cases have been reported in the medical literature.,growth_hormone_receptorQA,Endocrinology,Simple,72,144
5,What are the treatments for multiple lentigines syndrome ?,These resources address the diagnosis or management of multiple lentigines syndrome: - Cincinnati Children's Hospital: Cardiomyopathies - Gene Review: Gene Review: Noonan Syndrome with Multiple Lentigines - Genetic Testing Registry: LEOPARD syndrome 1 - Genetic Testing Registry: LEOPARD syndrome 2 - Genetic Testing Registry: LEOPARD syndrome 3 - Genetic Testing Registry: Noonan syndrome with multiple lentigines - MedlinePlus Encyclopedia: Hypertrophic Cardiomyopathy These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,growth_hormone_receptorQA,Endocrinology,Complex,58,688
6,How many people are affected by renal coloboma syndrome ?,The prevalence of renal coloboma syndrome is unknown; at least 60 cases have been reported in the scientific literature.,growth_hormone_receptorQA,Endocrinology,Simple,57,120
7,Is heterotaxy syndrome inherited ?,"Most often, heterotaxy syndrome is sporadic, meaning that only one person in a family is affected. However, about 10 percent of people with heterotaxy syndrome have a close relative (such as a parent or sibling) who has a congenital heart defect without other apparent features of heterotaxy syndrome. Isolated congenital heart defects and heterotaxy syndrome may represent a range of signs and symptoms that can result from a particular genetic mutation; this situation is known as variable expressivity. It is also possible that different genetic and environmental factors combine to produce isolated congenital heart defects in some family members and heterotaxy syndrome in others. When heterotaxy syndrome runs in families, it can have an autosomal dominant, autosomal recessive, or X-linked pattern of inheritance, depending on which gene is involved. Autosomal dominant inheritance means that one copy of the altered gene in each cell is sufficient to cause the disorder. Autosomal recessive inheritance means that both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition. In X-linked inheritance, the mutated gene that causes the disorder is located on the X chromosome, one of the two sex chromosomes in each cell. When heterotaxy syndrome occurs as a feature of primary ciliary dyskinesia, it has an autosomal recessive pattern of inheritance.",growth_hormone_receptorQA,Endocrinology,Very Complex,34,1524
8,What are the treatments for deoxyguanosine kinase deficiency ?,"These resources address the diagnosis or management of deoxyguanosine kinase deficiency: - Gene Review: Gene Review: DGUOK-Related Mitochondrial DNA Depletion Syndrome, Hepatocerebral Form - Genetic Testing Registry: Mitochondrial DNA-depletion syndrome 3, hepatocerebral - MedlinePlus Encyclopedia: Hypotonia These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care",growth_hormone_receptorQA,Endocrinology,Complex,62,527
9,What is (are) 2q37 deletion syndrome ?,"2q37 deletion syndrome is a condition that can affect many parts of the body. This condition is characterized by weak muscle tone (hypotonia) in infancy, mild to severe intellectual disability and developmental delay, behavioral problems, characteristic facial features, and other physical abnormalities. Most babies with 2q37 deletion syndrome are born with hypotonia, which usually improves with age. About 25 percent of people with this condition have autism, a developmental condition that affects communication and social interaction. The characteristic facial features associated with 2q37 deletion syndrome include a prominent forehead, highly arched eyebrows, deep-set eyes, a flat nasal bridge, a thin upper lip, and minor ear abnormalities. Other features of this condition can include short stature, obesity, unusually short fingers and toes (brachymetaphalangy), sparse hair, heart defects, seizures, and an inflammatory skin disorder called eczema. A few people with 2q37 deletion syndrome have a rare form of kidney cancer called Wilms tumor. Some affected individuals have malformations of the brain, gastrointestinal system, kidneys, or genitalia.",growth_hormone_receptorQA,Endocrinology,Very Complex,38,1163
