query,ground_truth_id,category,latency,recall@1,mrr@1,precision@1,ndcg@1,recall@5,mrr@5,precision@5,ndcg@5,recall@10,mrr@10,precision@10,ndcg@10,recall@20,mrr@20,precision@20,ndcg@20
How to diagnose Alkhurma Hemorrhagic Fever (AHF) ?,1476,Public Health,0.04916644096374512,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
How to diagnose What I need to know about Diarrhea ?,1363,Endocrinology,0.020923376083374023,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency ?,44,Endocrinology,0.02469325065612793,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the symptoms of Robinow Sorauf syndrome ?,662,Genetics,0.020349502563476562,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for phosphoglycerate mutase deficiency ?,516,Endocrinology,0.021480560302734375,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What causes Achondrogenesis ?,1012,Genetics,0.016851186752319336,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the stages of Childhood Ependymoma ?,1438,Oncology,0.01976633071899414,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the treatments for Cramp-fasciculation syndrome ?,810,Genetics,0.024167537689208984,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What are the genetic changes related to retinitis pigmentosa ?,463,Endocrinology,0.02369379997253418,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
What is (are) boomerang dysplasia ?,114,Endocrinology,0.025327682495117188,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.05,1.0
